data_set,load_kg,position_mm,timestamp,mass_g,pressure_kpa,density
1,0.022,-10.0,2021-05-17 02:45:31.870243,0.0,,
1,0.021,-10.0,2021-05-17 02:45:31.929926,0.0,,
1,0.021,-10.0,2021-05-17 02:45:32.010248,0.0,,
1,0.017,-10.0,2021-05-17 02:45:32.064654,0.0,,
1,0.023,-10.0,2021-05-17 02:45:32.119784,0.0,,
1,0.022,-10.0,2021-05-17 02:45:32.191077,0.0,,
1,0.023,-9.845390625,2021-05-17 02:45:32.245415,0.0,,
1,0.282,-9.70015625,2021-05-17 02:45:32.246500,0.0,,
1,0.273,-9.4521875,2021-05-17 02:45:32.247343,0.0,,
1,0.29,-9.25171875,2021-05-17 02:45:32.248553,0.0,,
1,0.298,-9.027890625,2021-05-17 02:45:32.252598,0.0,,
1,0.297,-8.528671875,2021-05-17 02:45:32.309545,0.0,,
1,0.319,-8.33515625,2021-05-17 02:45:32.372500,0.0,,
1,0.317,-8.17,2021-05-17 02:45:32.424679,0.0,,
1,0.334,-7.980546875,2021-05-17 02:45:32.486590,0.0,,
1,0.33,-7.816171875,2021-05-17 02:45:32.538451,0.0,,
1,0.318,-7.62359375,2021-05-17 02:45:32.600610,0.0,,
1,0.312,-7.42921875,2021-05-17 02:45:32.661954,0.0,,
1,0.296,-7.269453125,2021-05-17 02:45:32.713595,0.0,,
1,0.27,-7.0740625,2021-05-17 02:45:32.776563,0.0,,
1,0.258,-6.881015625,2021-05-17 02:45:32.837521,0.0,,
1,0.247,-6.7184375,2021-05-17 02:45:32.889718,0.0,,
1,0.235,-6.55421875,2021-05-17 02:45:32.941336,0.0,,
1,0.247,-6.36171875,2021-05-17 02:45:33.003087,0.0,,
1,0.237,-6.199609375,2021-05-17 02:45:33.054796,0.0,,
1,0.242,-6.0053125,2021-05-17 02:45:33.117075,0.0,,
1,0.25,-5.81609375,2021-05-17 02:45:33.178858,0.0,,
1,0.257,-5.653359375,2021-05-17 02:45:33.231040,0.0,,
1,0.246,-5.45875,2021-05-17 02:45:33.293094,0.0,,
1,0.245,-5.290859375,2021-05-17 02:45:33.345320,0.0,,
1,0.241,-5.099375,2021-05-17 02:45:33.407516,0.0,,
1,0.24,-4.909375,2021-05-17 02:45:33.469271,0.0,,
1,0.235,-4.74390625,2021-05-17 02:45:33.520950,0.0,,
1,0.217,-4.553203125,2021-05-17 02:45:33.582693,0.0,,
1,0.221,-4.381484375,2021-05-17 02:45:33.644926,0.0,,
1,0.225,-4.196484375,2021-05-17 02:45:33.696616,0.0,,
1,0.229,-4.0021875,2021-05-17 02:45:33.758986,0.0,,
1,0.226,-3.8046875,2021-05-17 02:45:33.820888,0.0,,
1,0.209,-3.61203125,2021-05-17 02:45:33.882591,0.0,,
1,0.19,-3.42171875,2021-05-17 02:45:33.944386,0.0,,
1,0.189,-3.22625,2021-05-17 02:45:34.006058,0.0,,
1,0.181,-3.065859375,2021-05-17 02:45:34.057853,0.0,,
1,0.18,-2.873828125,2021-05-17 02:45:34.119723,0.0,,
1,0.175,-2.67625,2021-05-17 02:45:34.182747,0.0,,
1,0.177,-2.517421875,2021-05-17 02:45:34.234264,0.0,,
1,0.173,-2.324296875,2021-05-17 02:45:34.296338,0.0,,
1,0.179,-2.130234375,2021-05-17 02:45:34.358555,0.0,,
1,0.185,-1.962421875,2021-05-17 02:45:34.410309,0.0,,
1,0.188,-1.7690625,2021-05-17 02:45:34.472042,0.0,,
1,0.185,-1.57625,2021-05-17 02:45:34.534073,0.0,,
1,0.187,-1.4134375,2021-05-17 02:45:34.585851,0.0,,
1,0.179,-1.224140625,2021-05-17 02:45:34.647599,0.0,,
1,0.168,-0.99453125,2021-05-17 02:45:34.719832,0.0,,
1,0.163,-0.83078125,2021-05-17 02:45:34.779020,0.0,,
1,0.156,-0.648125,2021-05-17 02:45:34.830818,0.0,,
1,0.153,-0.4603125,2021-05-17 02:45:34.892848,0.0,,
1,0.157,-0.26421875,2021-05-17 02:45:34.955188,0.0,,
1,0.157,-0.101015625,2021-05-17 02:45:35.007208,0.0,,
1,0.15,0.0,2021-05-17 02:45:35.069276,0.0,,
1,0.141,0.0,2021-05-17 02:45:35.111132,0.0,,
1,0.143,0.0,2021-05-17 02:45:35.172901,0.0,,
1,0.146,0.0,2021-05-17 02:45:35.234497,0.0,,
1,0.141,0.0,2021-05-17 02:45:35.286008,0.0,,
1,0.146,0.0,2021-05-17 02:45:35.347668,0.0,,
1,0.146,0.0,2021-05-17 02:45:35.409377,0.0,,
1,0.143,0.0,2021-05-17 02:45:35.463641,0.0,,
1,0.145,0.0,2021-05-17 02:45:35.524556,0.0,,
1,0.144,0.0,2021-05-17 02:45:35.584887,0.0,,
1,0.148,0.0,2021-05-17 02:45:35.635829,0.0,,
1,0.145,0.0,2021-05-17 02:45:35.697539,0.0,,
1,0.145,0.0,2021-05-17 02:45:35.759108,0.0,,
1,0.139,0.0,2021-05-17 02:45:35.820730,0.0,,
1,0.147,0.0,2021-05-17 02:45:35.873103,0.0,,
1,0.145,0.0,2021-05-17 02:45:35.935943,0.0,,
1,0.144,0.0,2021-05-17 02:45:35.989308,0.0,,
1,0.146,0.0,2021-05-17 02:45:36.065317,0.0,,
1,0.146,0.0,2021-05-17 02:45:36.115415,0.0,,
1,0.143,0.0,2021-05-17 02:45:36.178347,0.0,,
1,0.146,0.0,2021-05-17 02:45:36.241292,0.0,,
1,0.147,0.0,2021-05-17 02:45:36.294029,0.0,,
1,0.145,0.0,2021-05-17 02:45:36.357725,0.0,,
1,0.146,0.0,2021-05-17 02:45:36.885115,0.0,,
1,0.144,0.0,2021-05-17 02:45:36.905646,0.0,,
1,0.145,0.0,2021-05-17 02:45:36.925903,0.0,,
1,0.145,0.0,2021-05-17 02:45:36.951339,0.0,,
1,0.144,0.0,2021-05-17 02:45:36.994119,0.0,,
1,0.144,-0.003203125,2021-05-17 02:45:37.032106,0.0,,
1,0.133,-0.008125,2021-05-17 02:45:37.054741,0.0,,
1,0.131,-0.01171875,2021-05-17 02:45:37.073049,0.0,,
1,0.131,-0.01703125,2021-05-17 02:45:37.095248,0.0,,
1,0.131,-0.021875,2021-05-17 02:45:37.120473,0.0,,
1,0.133,-0.026015625,2021-05-17 02:45:37.139182,0.0,,
1,0.13,-0.030546875,2021-05-17 02:45:37.160731,0.0,,
1,0.128,-0.03640625,2021-05-17 02:45:37.215990,0.0,,
1,0.126,-0.040390625,2021-05-17 02:45:37.267624,0.0,,
1,0.128,-0.045234375,2021-05-17 02:45:37.329252,0.0,,
1,0.127,-0.05,2021-05-17 02:45:37.393792,0.0,,
1,0.122,-0.05484375,2021-05-17 02:45:37.453368,0.0,,
1,0.116,-0.058828125,2021-05-17 02:45:37.504273,0.0,,
1,0.119,-0.063671875,2021-05-17 02:45:37.567082,0.0,,
1,0.121,-0.0675,2021-05-17 02:45:37.618834,0.0,,
1,0.121,-0.07265625,2021-05-17 02:45:37.681587,0.0,,
1,0.124,-0.077578125,2021-05-17 02:45:37.744387,0.0,,
1,0.115,-0.0825,2021-05-17 02:45:37.807148,0.0,,
1,0.117,-0.087421875,2021-05-17 02:45:37.870761,0.0,,
1,0.12,-0.09140625,2021-05-17 02:45:37.922494,0.0,,
1,0.116,-0.09640625,2021-05-17 02:45:37.985536,0.0,,
1,0.118,-0.10140625,2021-05-17 02:45:38.048521,0.0,,
1,0.117,-0.10546875,2021-05-17 02:45:38.101036,0.0,,
1,0.114,-0.1103125,2021-05-17 02:45:38.163642,0.0,,
1,0.115,-0.113671875,2021-05-17 02:45:38.209672,0.0,,
1,0.116,-0.117265625,2021-05-17 02:45:38.251677,0.0,,
1,0.113,-0.12203125,2021-05-17 02:45:38.314310,0.0,,
1,0.115,-0.126328125,2021-05-17 02:45:38.367793,0.0,,
1,0.119,-0.131171875,2021-05-17 02:45:38.430113,0.0,,
1,0.114,-0.13609375,2021-05-17 02:45:38.492694,0.0,,
1,0.111,-0.140078125,2021-05-17 02:45:38.545411,0.0,,
1,0.11,-0.14515625,2021-05-17 02:45:38.608582,0.0,,
1,0.111,-0.14921875,2021-05-17 02:45:38.661045,0.0,,
1,0.113,-0.154140625,2021-05-17 02:45:38.723837,0.0,,
1,0.114,-0.158203125,2021-05-17 02:45:38.776218,0.0,,
1,0.107,-0.16296875,2021-05-17 02:45:38.838682,0.0,,
1,0.105,-0.167890625,2021-05-17 02:45:38.902368,0.0,,
1,0.105,-0.1721875,2021-05-17 02:45:38.954899,0.0,,
1,0.109,-0.177734375,2021-05-17 02:45:39.028146,0.0,,
1,0.108,-0.18203125,2021-05-17 02:45:39.081131,0.0,,
1,0.106,-0.186875,2021-05-17 02:45:39.143614,0.0,,
1,0.106,-0.1909375,2021-05-17 02:45:39.196214,0.0,,
1,0.111,-0.195859375,2021-05-17 02:45:39.260084,0.0,,
1,0.112,-0.199296875,2021-05-17 02:45:39.303075,0.0,,
1,0.114,-0.212109375,2021-05-17 02:45:39.466749,0.0,,
1,0.112,-0.2225,2021-05-17 02:45:39.600427,0.0,,
1,0.114,-0.2265625,2021-05-17 02:45:39.653232,0.0,,
1,0.113,-0.2315625,2021-05-17 02:45:39.715923,0.0,,
1,0.112,-0.235703125,2021-05-17 02:45:39.768459,0.0,,
1,0.111,-0.240546875,2021-05-17 02:45:39.831007,0.0,,
1,0.113,-0.245546875,2021-05-17 02:45:39.893726,0.0,,
1,0.113,-0.24953125,2021-05-17 02:45:39.946383,0.0,,
1,0.111,-0.25453125,2021-05-17 02:45:40.009011,0.0,,
1,0.108,-0.25859375,2021-05-17 02:45:40.061569,0.0,,
1,0.112,-0.263515625,2021-05-17 02:45:40.124083,0.0,,
1,0.117,-0.268359375,2021-05-17 02:45:40.186746,0.0,,
1,0.119,-0.2725,2021-05-17 02:45:40.239088,0.0,,
1,0.12,-0.277421875,2021-05-17 02:45:40.301639,0.0,,
1,0.122,-0.2815625,2021-05-17 02:45:40.354923,0.0,,
1,0.122,-0.2871875,2021-05-17 02:45:40.428058,0.0,,
1,0.12,-0.2921875,2021-05-17 02:45:40.491197,0.0,,
1,0.117,-0.296953125,2021-05-17 02:45:40.554496,0.0,,
1,0.115,-0.3,2021-05-17 02:45:40.617362,0.0,,
1,0.109,-0.3,2021-05-17 02:45:40.670679,0.0,,
1,0.108,-0.3,2021-05-17 02:45:40.743898,0.0,,
1,0.109,-0.3,2021-05-17 02:45:40.786664,0.0,,
1,0.107,-0.3,2021-05-17 02:45:40.850095,0.0,,
1,0.109,-0.3,2021-05-17 02:45:40.962886,0.0,,
1,0.11,-0.3,2021-05-17 02:45:41.025757,0.0,,
1,0.116,-0.3,2021-05-17 02:45:41.078322,0.0,,
1,0.112,-0.3,2021-05-17 02:45:41.141346,0.0,,
1,0.109,-0.3,2021-05-17 02:45:41.204184,0.0,,
1,0.111,-0.3,2021-05-17 02:45:41.256776,0.0,,
1,0.113,-0.3,2021-05-17 02:45:41.430115,11.0,,
1,-6.529,-0.295,2021-05-17 02:45:41.487607,11.0,,
